FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
2431	NA19916	-0.048571	0.00727075	0.0449844	0.0267174	0.0272629	0.0135407	-0.0285579	5.9681e-05	0.0257013	0.0176762
2424	NA19835	-0.0423012	0.0072121	0.037845	-0.00340548	0.0421692	0.0150467	0.0432986	0.0138409	0.00723992	0.00933494
2469	NA20282	-0.0283674	0.00129051	-0.322324	-0.527148	0.139237	-0.130482	0.035633	-0.0710005	-0.138066	-0.0140279
2368	NA19703	-0.0451518	0.0089346	-0.00984364	-0.0160722	0.0157816	-0.0134603	-0.00778065	-0.00125066	0.0806761	-0.000103079
2425	NA19901	-0.0490565	-0.000626651	-0.0122351	0.034277	-0.0126089	0.00412209	-0.0018619	-0.0269443	0.0370628	0.010085
2427	NA19908	-0.045936	0.00541758	-0.0169096	-0.0420123	-0.0150149	-0.0305412	0.0312055	-0.0228849	-0.0285758	-0.0719612
2430	NA19914	-0.0266531	0.0207663	-0.00567371	-0.0081789	0.00528392	0.0136528	-0.0015674	-0.00293808	0.067404	0.00652142
2470	NA20287	-0.039926	0.0115435	-0.00597261	-0.0147628	0.03873	0.0201446	-0.005304	0.0306685	-0.00971715	-0.0283104
2436	NA19713	-0.0300747	0.0149369	0.0813263	0.0573588	-0.039551	-0.0878967	0.354852	-0.219228	-0.177994	0.430861
2426	NA19904	-0.0402744	0.00249616	-0.0316927	0.0132095	-0.0163078	0.0567265	-0.00319127	-0.0227683	0.0222599	0.0225981
2431	NA19917	-0.0466247	0.000787221	0.0281324	0.0405683	0.0224094	-0.0290454	0.00315818	0.0256914	0.0424393	-0.0120252
2436	NA19982	-0.0453527	0.00239225	-0.0139121	-0.0275475	-0.0066339	-0.0101785	-0.0304301	-0.0242461	-0.0212473	0.0161775
2487	NA20340	-0.0437659	0.0137939	0.0156068	0.0248581	-0.0289964	-0.0664917	0.190515	0.115551	-0.0193365	-0.155724
