chrom	start	end	label
1	48000000	52000000	long_range_ld_chr1_48_52mb
2	86000000	100500000	long_range_ld_chr2_86_100_5mb
2	134500000	138000000	long_range_ld_chr2_134_5_138mb
2	183000000	190000000	long_range_ld_chr2_183_190mb
3	47500000	50000000	long_range_ld_chr3_47_5_50mb
3	83500000	87000000	long_range_ld_chr3_83_5_87mb
3	89000000	97500000	long_range_ld_chr3_89_97_5mb
5	44500000	50500000	long_range_ld_chr5_44_5_50_5mb
5	98000000	100500000	long_range_ld_chr5_98_100_5mb
5	129000000	132000000	long_range_ld_chr5_129_132mb
5	135500000	138500000	long_range_ld_chr5_135_5_138_5mb
6	25000000	33500000	mhc
6	57000000	64000000	long_range_ld_chr6_57_64mb
6	140000000	142500000	long_range_ld_chr6_140_142_5mb
7	55000000	66000000	long_range_ld_chr7_55_66mb
8	7000000	13000000	chr8_inversion
8	43000000	50000000	long_range_ld_chr8_43_50mb
8	112000000	115000000	long_range_ld_chr8_112_115mb
10	37000000	43000000	long_range_ld_chr10_37_43mb
11	46000000	57000000	long_range_ld_chr11_46_57mb
11	87500000	90500000	long_range_ld_chr11_87_5_90_5mb
12	33000000	40000000	long_range_ld_chr12_33_40mb
12	109500000	112000000	long_range_ld_chr12_109_5_112mb
20	32000000	34500000	long_range_ld_chr20_32_34_5mb
