gene_id	gene_symbol	chrom	start	end	build	source
ENSG00000186092	OR4F5	1	65417	71587	GRCh38	GENCODE_v50_basic
ENSG00000284733	OR4F29	1	450738	451680	GRCh38	GENCODE_v50_basic
ENSG00000284662	OR4F16	1	685714	686656	GRCh38	GENCODE_v50_basic
ENSG00000187634	SAMD11	1	923893	944592	GRCh38	GENCODE_v50_basic
ENSG00000188976	NOC2L	1	943525	960716	GRCh38	GENCODE_v50_basic
ENSG00000187961	KLHL17	1	960553	965723	GRCh38	GENCODE_v50_basic
ENSG00000187583	PLEKHN1	1	966435	975867	GRCh38	GENCODE_v50_basic
ENSG00000187642	PERM1	1	975192	982139	GRCh38	GENCODE_v50_basic
ENSG00000188290	HES4	1	998960	1000827	GRCh38	GENCODE_v50_basic
ENSG00000187608	ISG15	1	1001136	1014542	GRCh38	GENCODE_v50_basic
ENSG00000188157	AGRN	1	1020067	1056121	GRCh38	GENCODE_v50_basic
ENSG00000237330	RNF223	1	1070965	1074308	GRCh38	GENCODE_v50_basic
ENSG00000131591	C1orf159	1	1081809	1116363	GRCh38	GENCODE_v50_basic
ENSG00000162571	TTLL10	1	1173878	1197942	GRCh38	GENCODE_v50_basic
ENSG00000186891	TNFRSF18	1	1203506	1206816	GRCh38	GENCODE_v50_basic
ENSG00000186827	TNFRSF4	1	1211324	1214155	GRCh38	GENCODE_v50_basic
ENSG00000078808	SDF4	1	1216885	1240966	GRCh38	GENCODE_v50_basic
ENSG00000176022	B3GALT6	1	1232235	1235043	GRCh38	GENCODE_v50_basic
ENSG00000184163	C1QTNF12	1	1242444	1246936	GRCh38	GENCODE_v50_basic
ENSG00000160087	UBE2J2	1	1253905	1274479	GRCh38	GENCODE_v50_basic
ENSG00000162572	SCNN1D	1	1280434	1292031	GRCh38	GENCODE_v50_basic
ENSG00000131584	ACAP3	1	1292374	1309611	GRCh38	GENCODE_v50_basic
ENSG00000169972	PUSL1	1	1308545	1311681	GRCh38	GENCODE_v50_basic
ENSG00000127054	INTS11	1	1311583	1324690	GRCh38	GENCODE_v50_basic
ENSG00000224051	CPTP	1	1324754	1328899	GRCh38	GENCODE_v50_basic
ENSG00000169962	TAS1R3	1	1331273	1335316	GRCh38	GENCODE_v50_basic
ENSG00000107404	DVL1	1	1335273	1349964	GRCh38	GENCODE_v50_basic
ENSG00000162576	MXRA8	1	1352681	1361802	GRCh38	GENCODE_v50_basic
ENSG00000175756	AURKAIP1	1	1373708	1375523	GRCh38	GENCODE_v50_basic
ENSG00000221978	CCNL2	1	1385707	1400911	GRCh38	GENCODE_v50_basic
ENSG00000242485	MRPL20	1	1401905	1407308	GRCh38	GENCODE_v50_basic
ENSG00000235098	ANKRD65	1	1415635	1421771	GRCh38	GENCODE_v50_basic
ENSG00000205116	TMEM278	1	1425869	1430257	GRCh38	GENCODE_v50_basic
ENSG00000179403	VWA1	1	1434859	1446014	GRCh38	GENCODE_v50_basic
ENSG00000215915	ATAD3C	1	1449687	1470165	GRCh38	GENCODE_v50_basic
ENSG00000160072	ATAD3B	1	1471740	1497850	GRCh38	GENCODE_v50_basic
ENSG00000197785	ATAD3A	1	1512116	1534691	GRCh38	GENCODE_v50_basic
ENSG00000205090	TMEM240	1	1534776	1540626	GRCh38	GENCODE_v50_basic
ENSG00000160075	SSU72	1	1541671	1574889	GRCh38	GENCODE_v50_basic
ENSG00000228594	FNDC10	1	1598010	1600137	GRCh38	GENCODE_v50_basic
ENSG00000197530	MIB2	1	1615431	1630612	GRCh38	GENCODE_v50_basic
ENSG00000189409	MMP23B	1	1631658	1635265	GRCh38	GENCODE_v50_basic
ENSG00000248333	CDK11B	1	1635223	1659269	GRCh38	GENCODE_v50_basic
ENSG00000189339	SLC35E2B	1	1659527	1693061	GRCh38	GENCODE_v50_basic
ENSG00000008128	CDK11A	1	1702377	1724573	GRCh38	GENCODE_v50_basic
ENSG00000008130	NADK	1	1751230	1780546	GRCh38	GENCODE_v50_basic
ENSG00000078369	GNB1	1	1785283	1892294	GRCh38	GENCODE_v50_basic
ENSG00000169885	CALML6	1	1915079	1917298	GRCh38	GENCODE_v50_basic
ENSG00000178821	TMEM52	1	1917587	1919331	GRCh38	GENCODE_v50_basic
ENSG00000142609	CFAP74	1	1921949	2003839	GRCh38	GENCODE_v50_basic
ENSG00000187730	GABRD	1	2019303	2030760	GRCh38	GENCODE_v50_basic
ENSG00000067606	PRKCZ	1	2050394	2185723	GRCh38	GENCODE_v50_basic
ENSG00000162585	FAAP20	1	2184409	2212722	GRCh38	GENCODE_v50_basic
ENSG00000157933	SKI	1	2227386	2310215	GRCh38	GENCODE_v50_basic
ENSG00000116151	MORN1	1	2319206	2391724	GRCh38	GENCODE_v50_basic
ENSG00000157916	RER1	1	2390668	2405446	GRCh38	GENCODE_v50_basic
ENSG00000157911	PEX10	1	2403782	2413799	GRCh38	GENCODE_v50_basic
ENSG00000149527	PLCH2	1	2425978	2505809	GRCh38	GENCODE_v50_basic
ENSG00000157881	PANK4	1	2508529	2526619	GRCh38	GENCODE_v50_basic
ENSG00000197921	HES5	1	2528743	2530273	GRCh38	GENCODE_v50_basic
ENSG00000157873	TNFRSF14	1	2554242	2565384	GRCh38	GENCODE_v50_basic
ENSG00000157870	PRXL2B	1	2586489	2591472	GRCh38	GENCODE_v50_basic
ENSG00000142606	MMEL1	1	2590637	2633021	GRCh38	GENCODE_v50_basic
ENSG00000215912	TTC34	1	2636984	2801695	GRCh38	GENCODE_v50_basic
ENSG00000169717	ACTRT2	1	3021465	3022905	GRCh38	GENCODE_v50_basic
ENSG00000142611	PRDM16	1	3069001	3438623	GRCh38	GENCODE_v50_basic
ENSG00000130762	ARHGEF16	1	3454548	3485970	GRCh38	GENCODE_v50_basic
ENSG00000162591	MEGF6	1	3487940	3611545	GRCh38	GENCODE_v50_basic
ENSG00000158109	TPRG1L	1	3624977	3630133	GRCh38	GENCODE_v50_basic
ENSG00000116213	WRAP73	1	3630765	3652763	GRCh38	GENCODE_v50_basic
ENSG00000078900	TP73	1	3652305	3736203	GRCh38	GENCODE_v50_basic
ENSG00000162592	CCDC27	1	3746458	3771647	GRCh38	GENCODE_v50_basic
ENSG00000235169	SMIM1	1	3772646	3782180	GRCh38	GENCODE_v50_basic
ENSG00000130764	LRRC47	1	3778557	3796519	GRCh38	GENCODE_v50_basic
ENSG00000116198	CEP104	1	3812084	3857725	GRCh38	GENCODE_v50_basic
ENSG00000169598	DFFB	1	3857240	3885493	GRCh38	GENCODE_v50_basic
ENSG00000198912	C1orf174	1	3889123	3900299	GRCh38	GENCODE_v50_basic
ENSG00000196581	AJAP1	1	4654587	4792536	GRCh38	GENCODE_v50_basic
ENSG00000131697	NPHP4	1	5862802	5993457	GRCh38	GENCODE_v50_basic
ENSG00000069424	KCNAB2	1	5990925	6101195	GRCh38	GENCODE_v50_basic
ENSG00000116254	CHD5	1	6101785	6180358	GRCh38	GENCODE_v50_basic
